#{"t_start": 1684148598.5443041, "env_id": "FoRLHalfCheetah-v0"}
r,l,t
-318.511541,1000,1.559729
-316.689193,1000,3.134679
-460.182559,1000,4.835447
-358.312273,1000,7.018633
-329.537184,1000,9.220538
-317.150804,1000,11.513177
-419.406373,1000,13.693127
-173.9734,1000,15.911626
-510.467313,1000,18.122112
-508.866848,1000,20.353049
-522.754156,1000,22.554891
-435.864184,1000,25.161416
-484.597144,1000,28.458038
-438.547972,1000,31.989027
-358.174856,1000,34.521431
-398.050744,1000,37.25592
-304.57344,1000,39.958781
-308.729369,1000,42.186973
-328.804663,1000,44.386418
-280.819037,1000,46.704548
-195.216665,1000,48.97049
-74.519311,1000,51.13904
131.629096,1000,53.338507
152.270521,1000,55.523436
91.723809,1000,58.015464
-58.568591,1000,64.129796
201.133103,1000,66.306953
24.797852,1000,68.50108
143.79239,1000,70.725719
332.989767,1000,72.935365
-54.354772,1000,75.133386
163.409386,1000,77.354211
476.05737,1000,79.594536
361.643401,1000,81.808369
437.06476,1000,83.99344
-91.547945,1000,86.194809
150.140612,1000,88.400593
213.538627,1000,90.591057
191.04514,1000,92.87103
340.274709,1000,95.090063
377.569938,1000,97.260997
242.066224,1000,99.992571
501.823463,1000,102.449138
-390.287086,1000,104.705252
55.657248,1000,106.914999
526.111884,1000,109.147512
489.564196,1000,111.377537
508.714086,1000,113.819506
443.145604,1000,116.697647
14.371785,1000,119.25785
80.992116,1000,125.255087
353.606396,1000,127.432598
352.568342,1000,129.675747
361.675166,1000,131.852948
308.340708,1000,134.056124
500.312291,1000,136.26158
396.346301,1000,138.44573
680.671948,1000,140.660056
-500.008571,1000,142.902185
547.486908,1000,145.098652
507.081842,1000,147.300778
-141.8942,1000,149.49998
526.918378,1000,151.751908
344.942816,1000,153.955964
646.431608,1000,156.157506
634.122097,1000,158.338042
749.5536,1000,160.702024
648.654228,1000,162.871367
591.938019,1000,165.128431
679.870002,1000,167.336285
775.12474,1000,169.549211
688.884942,1000,171.77376
824.586452,1000,174.312701
201.33512,1000,176.512348
803.21665,1000,178.741477
876.171699,1000,184.826724
818.300887,1000,187.050097
465.989216,1000,189.278436
854.211038,1000,191.489311
944.445863,1000,193.811933
709.872649,1000,196.022053
588.915421,1000,198.276368
243.702189,1000,200.47892
-289.241512,1000,202.654086
21.575259,1000,204.866997
571.276094,1000,207.080342
686.191974,1000,209.246962
487.788318,1000,211.437271
706.655147,1000,213.61586
-770.803047,1000,215.81389
-435.074095,1000,218.034385
-299.790042,1000,220.542545
-263.986227,1000,222.731128
-238.969326,1000,224.903064
-69.655741,1000,227.121688
11.541399,1000,229.342259
133.608443,1000,231.541116
154.294277,1000,233.737243
417.749601,1000,236.00674
444.750149,1000,238.214113
307.841587,1000,244.273188
277.335793,1000,246.509766
347.598094,1000,248.718241
455.481199,1000,250.887808
112.123532,1000,253.083902
126.828007,1000,255.318562
593.49353,1000,257.516847
-62.417719,1000,259.999649
301.235539,1000,263.403377
158.632147,1000,265.954813
220.603679,1000,268.498672
34.22669,1000,272.145674
341.896017,1000,274.865605
149.455426,1000,277.167789
449.708083,1000,279.746779
546.445076,1000,282.742259
